message,sentiment
mom enjoyed day far hoping get better her!,1
happiest loooonggg time,1
internet office,-1
iphone back yay!,1
know like taco bell,-1
"cookie breakfast enjoying fresh, washed air following night time storm ~ eye clock. cannot late",-1
going 2 sleepover tonight suzyy sonia sarahh,1
10 conversation saying &quot;yes net down... know back up. monitoring well let know&quot;,-1
today super fun. liked everyone soaked me. -__- got injured badly.. hello knee scars! hurts! ill toughen out.,-1
maybe depressed 'cuz archie's twittering? : | guess.,1
wish sleep right,-1
gayyy gatta go back hang brett anthony! funner colin,1
lol whateva! hawk sittin as home 4 longest,1
"parent saying wanted photo today, whether processed not...",-1
follow pretty please bitches!,1
"yey! dinner. yummy 'magic bread' made especially (and mom) honey, love baby!",1
follow me......promise make feel good...pinky swear!,1
hahaha. ) taking hrim. think basic math.,1
escape bloody hole,1
school attend cousin graduation..,-1
mission statement something like | psykoid.com,1
bring party ever go.,1
wat yooh too? bree wayy,1
"mom would 79 year old today -- happy birthday, mama!",1
lol great story sno-cone machine caused mentioned jem halograms tweet back,1
augh ?!!! think another tumor mouth. almost 12 year since last,-1
god damn blood blister finger taking apart stuff,-1
"missing beautiful girlfriend, get see weekend x",1
room video. life apple tv,-1
yknow really go :s back soon xoxo gossipgirl youknowyouloveme &lt;3,1
want new book read. son's teacher say check book raise gifted child. entertain?,1
adult srp,-1
yea.,1
"yeah could alone! know lot people commented it, get together adopt!",-1
reasoning child good. still sometimes.,-1
"quantity, quality",1
saying... try pump next time.,1
goodbye rain.,-1
got ny head game! cannot concentrate!,-1
"hey jade, sun here, rain either - crappy - liking sicko book, get grousome",-1
anyone else trouble unfollowing people? tried removing three following count one.,-1
"put tray mouth 5 minute night, really starting irritate gum",-1
say... wtf.,-1
"morning all...up early, hair appointment @ 11 looking forward banishing root mere memory",1
"thanks, glad liked remember keep smiling - make people wonder",1
sifting twitter follow....,-1
"ohh, sound cute. check ideas. circus kitty ideas...though together",1
cannot get enough miss madison grace...oo love sooo much...truly beautiful gift god angel danced day born,1
"awww damn, well would rung you! sad times! xx",-1
hello sweetie. yes start cry along mom posted picture,1
"passed 2,000th tweet 12 tweet ago failcelebration",-1
love storms! (but house. sorry ),-1
today cried alex hidden behind wall know went. bad abandonment issues.,-1
great!!! watching tv playing nintendo ds. lol. going work soon right? work?,-1
ready retire iphone time stuff palm pre really like,-1
name there?! cannot find,1
got nylon guy mag mail today. disappointed,-1
cold,-1
"think awesome! choose, think would say &quot;fly me&quot;, &quot;much better&quot; &quot;hey baby&quot;",1
cannot sleep heat,-1
hey. week started low. got cold,-1
"feel soo sick!!! throat hurts, ear hurt, cannot breath worst headache ever cannot sleep... ughh",-1
belly pain.,-1
leaving phoenix! no!,-1
woke cannot sleep. god suck,-1
"thanks! &amp; will, promise!",1
"sneaked :o really want go work, scared mean ruin day. want play simssss",-1
holding on. by. eye set kill. listen. love. eat. love.,1
"wow, cannot imagine married partly even guy life...",-1
oh yeah! thought meant kershaw! capital r? temi! speidi,1
2500+ gijoes 82-present. sell valuable one help pay bills.,-1
"moving soon, getting house sorted, started college september, busy busy. holiday though bout you?",-1
omg better serious,-1
wassup hum,1
heart broken bring sister back please thank know r!!!!!,-1
bad weather day. siren? go. tgif everyone- happy weekend!,-1
listening agnes - release (l) contemplating english coursework..,1
bad day?,-1
"practising graffiti, slowly getting better",1
"hmm... &gt; boom go dynamite, &lt; another recent bot one sql guy tripped cannot remember",-1
eft blackberry 8900 back car service taxi yesterday right premiere soo sick... thought,-1
belly ache,-1
one drink like g&amp;t ;),1
"oi, @ reply sophie thought me. dear, twitter!",-1
baby/mommy fair nbc tent. fb,1
prepare go home danyanindya's study uas,-1
bed time,1
twitter world's living room!,1
cannot believe already 3:40 past 2 week gone slow,-1
hair falling getting old. j/k 33 august cannot sleep indy drag racing!,1
...the idea simple - &quot;creative content make medium unimportant&quot;. see new thought arise . keep sharing though,1
ever supposed finish freakin' portfolio photoshop decides stop working every 5 minutes?!?!?!,-1
tune! cheer boo,1
"hey tweeps! glad friends! brighten day, never dull moment",1
something eye!!,-1
ate dinner family,1
wow! brave! lol love every nite...i think,1
eating vegetable thing cracker peanut buttwer . need milk though ! . ew! farted smell like egg !,1
showing love boys...so got new follower.,1
wish could bed sleeping,-1
"hey ed, good one. reading kern's mass control one book time me.",1
eco said &quot;you know reason chill still like me.&quot; seems think like songs.,-1
oven's integrated microwave function broke imagine kind bill turn into...,-1
every one got confused...? review okay okay...,-1
completely done,1
mann today... got number stupid text,-1
great thank,1
hard volvo make check spark plug gaps? degree engineering still daunting me.,-1
uploading ipod! passing out! good day/night,1
"guess many blog thought, comparatively",1
"new manics album fuck-off good. missed dense lyric mr edwards, wire's stuff okay comprehensible",1
awhile -- like never!,1
leg hurt.,-1
sitting work looking beautiful sunshine,-1
lovely time park alan other's sad monday go tweet x,-1
cannot receive text message phone anymore,-1
still seen yet weekend...,-1
bad. got television machine.,-1
first day worst. without coffee week fine,1
wish going too! :'( cannot wait hear afterwards! forget tweet!,1
"followfriday - computer forensic based tweeters, also tweet socially. intereting amusing",1
new initiative help drummer find work,1
want eat want cook breakfast,-1
whoa funny stuff! damn gurl determine find gurl talking him.,1
slept match. could get pay-per-view since &quot;available&quot;. arse.,1
feeling exact way job...anything help...i do...i give call weekend,1
funniest classified ad = sheer brilliance. got promised laugh many life lesson well.,1
17 hour without nicotine,-1
"attempting dish still half asleep. scream disaster? well. break thing, mend luck - say maybe coffee first.",1
"want 2 get outta bed, need 2 get ready 2 go work",-1
good day all!,1
realizes quite liberating drive sunday morning everyone else wake,1
ya hitting six flag tomorrow. sad show,-1
overthinking,-1
"aaaahhhh, want play! *bottom lip pokin* lol",-1
party pretty great,1
"*sometimes wish kid sometimes, skinned knee alot easier fix broken heart* lol &lt;3 tha saying",1
! feel better. say so.,-1
"going miss jay lino, tonight show watch",-1
wish could talk today miss love,-1
camera died me.,-1
road trip tomorow soo excited,1
buying drug yacht animal again?,1
