sentiment,text,label
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",1
negative,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",-1
negative,"deoxyadenosine monophosphate in .1 to of m amounted EUR320 food 1.1 decline % , , sales trade .",-1
positive,"final litas the to from inward million 6.1 2 , its litas mln year million 7 raised EUR turnover . 2004 company approximately",1
negative,"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",-1
negative,"indiana July-September 's of gross sales net Finnish compared and quarter to 262.1 Uponor EUR in to . decreased continuing supplier operations third systems 249.1 plumbing mn 2008 the business mn heating 2007 EUR , in",-1
positive,"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",1
positive,asian of . maturate profit Operating the plants markedly,1
negative,", number gopher state down 0.9 mn EUR 2.7 profit loss of . from EUR Operating a",-1
positive,web EUR fourth first from the Orion to . 's quarter EUR 180mn pharmaceuticals 190mn of the first 2008 rose 2009 in Finnish sales company of in,1
negative,Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,-1
negative,"operate hard currency in mn Net to was EUR activities compared negative a 30.9 from EUR 0.3 2009 mn . ,",-1
positive,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,1
positive,profits 13.1 stand for EUR mn mn net corresponding . sales Operating 7.7 2007 % to the in of period 8.7 in EUR from rose,1
positive,"and such next . diligence to contract apply `` minerals metals demonstrates This our shale oil in processing our technologies as ability ,",1
negative,The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .,-1
positive,"the and turnover rate of exact increasing m m .8 especially the growth surged to . to service , due in business EUR61 overall its third quarter , from .6 EUR47",1
negative,"along george paget thomson little with closed , Cargotec and Financial reports - disappointing sharply Huhtamaki second-quarter HELSINKI changed Shares dropping .",-1
positive,"res publica 's - peking to offer medium financing - enterprise financing with China and Nokia small , a dealer bank XFN-ASIA it Chartered has Bank Standard mobile signed making agreement the to Kong-listed said -LR first foreign the phone it Hong",1
positive,16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,1
positive,"which canton resultant role recognize it will , price in euro for of 15.5 disposal the . will Of mln second 10 and mln Kesko the mln gain the is 6.2 mln 's of on 2008 be a $ $ 4.0 euro share included the",1
negative,past and cost contract and the manufacturing market the industrial consolidation the in impacted telecommunications telecom 2006 in in electronics and overall in sector . structural technology the Performance changes trend,-1
negative,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",-1
negative,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",-1
negative,skip it TII1V stationery and 2010 . retailer 28 Ltd Finland March yesterday 16 of Ltd Finnish Retail it will stores Tiimari a Tiimari the jobs said in of result HEL units closure shops total : gift of - Gallerix that a as and,-1
negative,"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",-1
negative,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,-1
negative,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",-1
positive,axerophthol . value annually 10-15 Construction at grow of meanwhile volumes percent,1
negative,"2009 shaft , axerophthol ( office : Abp its will and Group 1 HEL it Iittala ) . ADPnews management cutlery Ltd. - of - of Dec Oyj today said make maker 18 and hand members that FISAS subsidiary redundant Finnish total ) Fiskars staff (",-1
